name, genre, timeCinema, contentRating, company, duration, synopsis, rating, box-office
Big Momma's House,"['Action & Adventure', 'Comedy']",2000-06-01T17:00:00-07:00,PG13,20th Century Fox,P99M,"
    In this comedy, a cop assumes a new identity in his valiant battle against crime: an elderly grandmother! Malcolm Turner (Martin Lawrence) is an FBI agent who is a master of disguise and will stop at nothing to get his man. When a bank robber escapes from prison and goes on a violent crime spree, Malcolm is assigned to bring him in. The thief's girlfriend Sherry (Nia Long), who is also the mother of his child, lives in a small Southern town, and Malcolm plans to set up a stake-out in the house across the street from Sherry's. However, the house is owned by Big Momma (Ella Mitchell), an older woman with a sharp tongue and no patience for back talk, and when Big Momma has to leave town, it leaves her house suspiciously empty. Determined to maintain his cover, Malcolm disguises himself as Big Momma, and now has to convince Sherry (and everyone else in the neighborhood) that Big Momma's still in town. Big Momma's House gained considerable pre-production publicity when Lawrence fell into a coma while jogging in a heat wave before the film's start date; Lawrence claimed that he was trying to lose weight to fit more comfortably into his character's ""fat suit."" ~ Mark Deming, Rovi",30,"$492,734"
Best in Show,['Comedy'],2000-09-28T17:00:00-07:00,PG13,Warner Bros. Pictures,P91M,"
    A ""behind the scenes"" look into the highly competitive and cut-throat world of dog-shows through the eyes of a group of ruthless dog owners including: yuppies Hamilton and Meg Swan and their neurotic weimeraner ""Beatrice""; mild-mannered menswear salesman Gerry and Cookie Fleck, whose Norwich terrier's registered name is ""Champion Thank You Neil Sedaka""; fly-fishing shop owner Harlan Pepper and his beloved bloodhound ""Hubert""; New Yorker Scott Donlon and his longtime hairdresser partner, Stefan Vanderhoof, who anticipate the crown for their pampered shih tzus ""Miss Agnes"" and ""Tyrone""; and the champion poodle ""Rhapsody in White"" who might just snare the title for the third year running.",94,"$16,574,225"
Best in Show,['Comedy'],2000-09-28T17:00:00-07:00,PG13,Warner Bros. Pictures,P91M,"
    A ""behind the scenes"" look into the highly competitive and cut-throat world of dog-shows through the eyes of a group of ruthless dog owners including: yuppies Hamilton and Meg Swan and their neurotic weimeraner ""Beatrice""; mild-mannered menswear salesman Gerry and Cookie Fleck, whose Norwich terrier's registered name is ""Champion Thank You Neil Sedaka""; fly-fishing shop owner Harlan Pepper and his beloved bloodhound ""Hubert""; New Yorker Scott Donlon and his longtime hairdresser partner, Stefan Vanderhoof, who anticipate the crown for their pampered shih tzus ""Miss Agnes"" and ""Tyrone""; and the champion poodle ""Rhapsody in White"" who might just snare the title for the third year running.",94,"$16,574,225"
Bless the Child,"['Drama', 'Horror', 'Mystery & Suspense']",2000-08-10T17:00:00-07:00,R,Paramount Pictures,P107M,"
    In this supernatural horror story, Jenna (Angela Bettis), an unstable young woman, gives birth to a girl named Cody who proves to be autistic; unable to care for her properly, she turns Cody over to her sister, psychiatric nurse Maggie O'Connell (Kim Basinger). Maggie raises Cody as her own, but when the child (now played by Holliston Coleman) turns six, Jenna and her new husband Eric (Rufus Sewell) forcibly take back the child. Maggie believes Jenna and Eric are not fit parents, but when she takes the matter up with detective John Travis (Jimmy Smits), they discover that a number of children born on the same day as Cody have also been abducted recently. Even worse, it seems that Cody may now be in the hands of Satanists who, in accordance with Biblical prophecy, believe the little girl may be mankind's last line of defense against ultimate evil. Based on a novel by Cathy Cash Spellman, Bless the Child also stars Christina Ricci and Ian Holm.",3,"$28,134,407"
Bring It On,['Comedy'],2000-08-24T17:00:00-07:00,PG13,Universal Pictures,P99M,"
    The hard work, dedication, and personal politics behind ""rah rah rah!"" and ""sis boom bah!"" go under the microscope in this engaging teen comedy. Torrance Shipman (Kirsten Dunst) discovers that being captain of her San Diego high school's six-time championship-winning cheerleading squad is more complicated than she had imagined. Torrance's parents want her to spend more time on her homework, her boyfriend wants her to spend more time with him, and she learns that the squad's former captain stole some of their best routines from other teams -- and that Isis (Gabrielle Union), captain of a top squad at a crosstown, inner-city high school, plans to fight back this year. To make things worse, when one of the cheerleaders is injured, Torrance is forced to replace her with Missy (Eliza Dushku), a cynical new kid who is involved only because the school doesn't offer gymnastics. In the midst of this chaos, with the national championship around the corner, Torrance couldn't have picked a worse time to fall in love with Cliff (Jesse Bradford), a classmate who cares a lot more about punk rock than school spirit. Dunst trained with a cheerleading squad for her role, though a double performed the more complicated stunts. ~ Mark Deming, Rovi",63,"$67,905,760"
Charlie's Angels,"['Action & Adventure', 'Comedy']",2000-11-02T16:00:00-08:00,PG13,Columbia Pictures,P98M,"
    They're beautiful, they're brilliant, and they work for Charlie. In a smart, sexy update of the 70's TV show, ""Charlie's Angels"" revolves around three female detectives - Natalie the bookworm, Dylan the tough girl, and Alex the class act - as intelligent and multi-talented as they are ravishingly gorgeous and utterly disarming. What can be done when Eric Knox, a soon-to-be billionaire, is kidnapped from his own office at Knox Technologies, and the company is in jeopardy of losing a million dollars? Under the sure hand of their suave playboy boss, notorious for his clever ways of avoiding face-to-face meetings with his employees, the Angels use their feminine charm, high-tech gadgets and hand-to-hand combat to save themselves, Charlie, and thousands of innocent people.",68,"$124,420,707"
Digimon - The Movie,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Kids & Family', 'Science Fiction & Fantasy']",2000-10-05T17:00:00-07:00,PG,20th Century Fox,P82M,"
    While some children spend their summer vacation playing ball or going to the beach, seven kids use their free time to help save the world in this feature-length animated adventure adapted from the popular television series. While attending summer camp, a group of kids playing with computers are transported into a digital universe, where they make friends with the Digital Monsters, or Digimon, creatures of the electronic world who can transform themselves into more advanced beings at will. However, while the children have been befriended by good Digimon, there are also evil Digimon, and a ruthless Internet Digimon is ravenously swallowing up communications data from around the world. The Internet Digimon has the potential to take over worldwide communications -- including military weapons-launch technology -- if the good Digimon and their human friends cannot stop its schemes. Digimon: The Movie was adapted from two shorter Japanese films using the Digimon characters, and was prepared for U.S. release by the same team who Americanized the original Japanese anime series Dejimon Adobencha.",25,"$9,009,288"
Dr. T and the Women,"['Comedy', 'Romance']",2000-10-12T17:00:00-07:00,R,Artisan Entertainment,P121M,"
    Dallas gynecologist Dr. Sullivan Travis is a man juggling many, many women in both his professional and personal lives. The doctor of choice for the city's society elite, Dr. T is perennially overbooked and behind schedule, despite the efforts of his devoted chief nurse. Now Dr. T's home life is boiling over, too: his beloved wife Kate has regressed into a childlike state just as plans for the upcoming wedding of cheerleader daughter Dee Dee are shifting into high gear. Adding to the chaos, his Champagne-loving sister-in-law Peggy has moved in with her three little girls, while Kennedy conspiracy buff daughter Connie is sounding the alarm about Dee Dee's chosen maid of honor, the mysterious Marilyn. Overwhelmed, Dr. T begins spending more time at his country club's golf course, adding a new woman to his life - the easygoing new golf pro Bree. Life is about to change for Dr. T, hitting him with the gale force of a Dallas Fall storm.",57,"$12,115,208"
Dracula 2000,['Horror'],2000-12-21T16:00:00-08:00,R,Dimension Films,P98M,"
    In this loose reinvention of the classic Bram Stoker novel, the Count (Gerard Butler) is transplanted to the present day, after a brief prologue where Van Helsing (Christopher Plummer) captures Dracula and conceals him in Carfax Abbey, where he remains for many years. In the future, Carfax Abbey is contained within an office building where Van Helsing's been using Dracula's blood to stay alive in order to guard the evil secret. After a band of thieves, led by the malevolent Marcus (Omar Epps), attempts to seize Dracula's remains, the Count escapes to New Orleans, where Mary Van Helsing (Justine Waddell) currently resides. Mary is eventually persuaded to fight Dracula with the aid of a reluctant Simon(Jonny Lee Miller), one of Van Helsing's employees, all while trying to escape the newly-made vampires of Marcus' gang and a zealous TV reporter (Jeri Ryan). The film also features Lochlyn Munro, Jennifer Esposito, Vitamin C, and Danny Masterson in supporting roles.",17,"$32,660,848"
"Dude, Where's My Car?",['Comedy'],2000-12-14T16:00:00-08:00,PG13,20th Century Fox,P83M,"
    The startling effects of chemically induced short-term memory loss provide the backdrop for this resinous teen comedy. Jesse (Ashton Kutcher) and Chester (Seann William Scott) are two hard-partying dudes who wake up after a very long night on the town to discover they've forgotten the presents they bought for their girlfriends Wanda (Jennifer Garner) and Wilma (Marla Sokoloff), twins who are more than a bit miffed that the stoners they've come to tolerate appear to have forgotten their anniversary. The presents are in Jesse's car, but they're so fuzzy on the details of the previous 24 hours that they have no idea where they left said automobile. Jesse and Chester set out to find their wheels, and along the way they discover that they had an even more eventful evening than they imagined, as strippers, aliens, a suitcase full of money, and a kitchen full of pudding become important pieces in the puzzle of the missing car. Dude, Where's My Car? also stars Hal Sparks, Kristy Swanson, Kevin Christy, and Fabio; it was written by Philip Stark, previously a writer for the TV series That 70's Show, which also features Kutcher in its cast. ~ Mark Deming, Rovi",18,"$44,992,961"
Dungeons & Dragons,"['Action & Adventure', 'Science Fiction & Fantasy']",2000-12-07T16:00:00-08:00,PG13,New Line Cinema,P107M,"
    The Empire of Izmer has long been a divided land. The Mages - an elite group of magic users - rule whilst the lowly commoners are powerless. Izmer's young Empress, Savina, wants equality and prosperity for all, but the evil Mage Profion is plotting to depose her, and establish his own rule. In order to prevent Profion from taking over her kingdom, the Empress must find the legendary Rod of Savrille that controls the powerful Red Dragons. Enter two thieves, Ridley and Snails, who unwittingly become instrumental in the search for the Rod. They are joined by Mage Apprentice Marina, a feisty Dwarf named Elwood, and helped by the Empress's expert tracker, the Elf Norda, as they outrace Profion's chief henchman Damodar to find the magical Rod that will set their Kingdom free.",10,"$14,813,627"
Finding Forrester,"['Comedy', 'Drama']",2000-12-19T16:00:00-08:00,PG13,Columbia Pictures,P136M,"
    Four decades ago, William Forrester won a Pulitzer Prize for his classic novel. That was the last time the world heard of him. Now a recluse in Manhattan, his passion for literature is awakened by Jamal a 16-year old basketball player recruited by an elite Manhattan prep school for his brilliance both on and off the court. When Jamal sneaks into Forrester's apartment, he accidentally leaves behind his backpack, full of his precious writings. Finding these, Forrester is opened to a new world, one that gives him a reason to look past his prejudice and a reason to emerge from his self-imposed solitude. Forrester becomes his first fan and opens Jamal's eyes to a world of academia beyond the South Bronx apartment he shares with his adoring mother and brother. Though at times contentious, Forrester befriends Jamal and becomes his mentor. They spend many hours in Forrester's dusty apartment laughing, learning, debating and dedicating themselves to the love that binds them - the written word. Forrester convinces Jamal to enter the school's writing contest, but their friendship and loyalty is tested when Jamal must face an accusation of plagiarism - alone.",74,"$51,370,406"
Get Carter,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",2000-10-05T17:00:00-07:00,R,Warner Bros. Pictures,P102M,"
    Hit man Jack Carter returns home for his brother's funeral, and is soon investigating the events that led to his death.",12,"$14,551,088"
Girlfight,"['Drama', 'Sports & Fitness']",2000-09-28T17:00:00-07:00,R,Screen Gems,P110M,"
    A high-school senior with a fiery temper and reputation for trouble, Diana lives with her brother and single dad, Sandro, in a housing project in Red Hook. Each week Sandro pays a local trainer to put some meat and muscle on his son, but when Diana decides she, too, wants to be a boxer, he refuses. With dogged determination, Diana begins a grueling training regimen and, under the loving tutelage of her trainer, becomes the gym's first female champion. The discipline, cunning, and humility required to be a contender are the cold shower Diana needs to focus her ambitions. But when she falls in love with a promising amateur, her priorities are forced into burning focus.",87,"$778,046"
Hollow Man,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",2000-08-03T17:00:00-07:00,R,Columbia Pictures,P112M,"
    At a top-secret military lab, a group of brilliant young scientists have just unlocked the secret of invisibility. The team's arrogant leader, Sebastian Caine, ignores the risks and decides to test the dangerous procedure on himself- only to discover his fellow scientists are unable to reverse the effect. Working around the clock, Caine's colleagues struggle to devise an antidote. But Sebastian's intoxication with his new found power is growing, and he's come to believe his colleagues may be a threat to his very existence.",27,"$72,055,301"
Dr. Seuss' How the Grinch Stole Christmas,"['Comedy', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']",2000-11-16T16:00:00-08:00,PG,Universal Pictures,P105M,"
    The curmudgeonly recluse Grinch, who hates Christmas, becomes annoyed with the out-of-control Christmas festivities in Whoville, the town lying below his cave dwelling on Mt. Crumpit. But after the Grinch conspires to deprive the Who's of their favorite holiday by sneaking into town on Christmas eve to steal everything associated with the holiday, he learns that the spirit of Christmas goes much deeper than tinsel and toys.",53,"$259,011,600"
The Kid,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2000-07-06T17:00:00-07:00,PG,Disney,P104M,"
    If you could talk to the child that you used to be, what advice would you give him? That question forms the basis of this comic fantasy. Forty-year-old Russ Duritz (Bruce Willis) is a wealthy and powerful ""image consultant"" who has made a career out of telling people how to present themselves. But while he's a success in business, he's a failure in life; he's vain, mean-spirited, and hasn't been able to hold onto a marriage (or even a pet dog). One day, Russ is startled to meet Rusty (Spencer Breslin), a stocky kid whom he soon realizes is himself at the age of eight, having passed through a wrinkle in time. Young Rusty doesn't seem much happier than the grown-up Russ, so the older man takes his younger self under his wing and tries to teach him how to avoid the mistakes he's made, while Rusty encourages Russ to be a more caring human being. Along the way, Russ and Rusty become friends, and realize how much they can learn from each other. Disney's The Kid also stars Jean Smart as one of Russ' clients, Lily Tomlin as his assistant, and Daniel Von Bargen as his father. ~ Mark Deming, Rovi",49,"$68,493,389"
Little Nicky,['Comedy'],2000-11-09T16:00:00-08:00,PG13,New Line Cinema,P84M,"
    The youngest child of the family often has the most problems -- so why should things be different for the Prince of Darkness and his offspring? Satan (Harvey Keitel) is considering retirement, and is pondering which of his sons should take over the family business -- ambitious Adrian (Rhys Ifans), strapping Cassius (Tommy ""Tiny"" Lister Jr.), or Nicky (Adam Sandler), an accident-prone demon who prefers to stay in his room playing his favorite heavy metal tunes. When Satan decides to stay on for another 10,000 years, Adrian is outraged, and leaves Hell to go to New York, where he and Cassius attempt to round up enough souls to vote Satan out of power. Satan, understandably upset, sends Nicky to bring Adrian and Cassius back home, but Nicky finds life on Earth is more complicated than he expected. Things don't get any easier when he develops a crush on Valerie (Patricia Arquette), a good-hearted mortal woman. Little Nicky also features Michael McKean as a city official trying to put Nicky behind bars, Kevin Nealon as Hell's gatekeeper, Rodney Dangerfield as Satan's father, Robert Smigel as the voice of Beefy -- a talking dog who is Nicky's guide on earth, Allen Covert as Todd -- Nicky's new roommate, and Peter Dante and Jonathan Loughran as a pair of metalheads who dig Satan. Jon Lovitz and Reese Witherspoon play cameo roles, and Regis Philbin and Ozzy Osbourne appear as themselves.",22,"$38,542,597"
Little Nicky,['Comedy'],2000-11-09T16:00:00-08:00,PG13,New Line Cinema,P84M,"
    The youngest child of the family often has the most problems -- so why should things be different for the Prince of Darkness and his offspring? Satan (Harvey Keitel) is considering retirement, and is pondering which of his sons should take over the family business -- ambitious Adrian (Rhys Ifans), strapping Cassius (Tommy ""Tiny"" Lister Jr.), or Nicky (Adam Sandler), an accident-prone demon who prefers to stay in his room playing his favorite heavy metal tunes. When Satan decides to stay on for another 10,000 years, Adrian is outraged, and leaves Hell to go to New York, where he and Cassius attempt to round up enough souls to vote Satan out of power. Satan, understandably upset, sends Nicky to bring Adrian and Cassius back home, but Nicky finds life on Earth is more complicated than he expected. Things don't get any easier when he develops a crush on Valerie (Patricia Arquette), a good-hearted mortal woman. Little Nicky also features Michael McKean as a city official trying to put Nicky behind bars, Kevin Nealon as Hell's gatekeeper, Rodney Dangerfield as Satan's father, Robert Smigel as the voice of Beefy -- a talking dog who is Nicky's guide on earth, Allen Covert as Todd -- Nicky's new roommate, and Peter Dante and Jonathan Loughran as a pair of metalheads who dig Satan. Jon Lovitz and Reese Witherspoon play cameo roles, and Regis Philbin and Ozzy Osbourne appear as themselves.",22,"$38,542,597"
The Little Vampire,"['Action & Adventure', 'Comedy', 'Kids & Family']",2000-10-26T17:00:00-07:00,PG,New Line Cinema,P105M,"
    It is not easy being a 9 year old in a new country. Tony has just moved with his parents, Dottie and Bob Thompson, from a big bustling city in America to a small village in a remote corner of Scotland. Every night, in his new home, Tony has nightmares about vampires, and he has no idea why. He soon becomes so absorbed by them that he starts studying every book he can find on the subject. His classmates tease him about his vampire obsession, especially the cruel local kids, Nigel and Flint, nephews of local squire, and Bob's employer, Lord McAshton. The teacher at his new school is so shocked he tells Tony's Mom about how worried he is; not a good start for the new kid in town. One evening, while in his room, practicing basic vampire moves, Tony gets a visit from a large bat, which transforms before his eyes into a 9 year old vampire boy, Rudolph, who happens to be extremely hungry, and convinced that Tony is one of his kind. Realizing that Tony is not a vampire, Rudolph tries to fly away again, but having no strength he just plummets straight to the ground outside Tony's window. Rookery the vampire hunter in his vampire hunting truck is in hot pursuit, and Tony, intrigued by the real life vampire he has met, protects Rudolph and, at his request, leads him to the local farm, where Rudolph drinks the blood of a cow. What later ensues is an adventurous caper during which Tony helps Rudolph find the mysterious missing half of the amulet that can help Rudolph and his family finally realize their dream - to become human again!",55,"$13,432,508"
Lucky Numbers,['Comedy'],2000-10-26T17:00:00-07:00,R,Paramount Pictures,P105M,"
    While lots of people dream of winning the lottery, one man hatches a more ambitious plan than just buying a ticket and hoping for the best in this satiric comedy. Russ Richards (John Travolta), a weatherman on a local TV station in Harrisburg, Pennsylvania, sells snowmobiles on the side, but both careers are in a rut thanks to an unusually warm winter. Russ's girlfriend Crystal (Lisa Kudrow) appears on the State Lottery's weekly televised drawing, pulling the numbered balls out of the rotating bin. With the help of a few of his less scrupulous friends - among them sleazy strip joint proprietor Gig (Tim Roth), small time hood Dale The Thug (Michael Rappaport), and Crystal's sleazy cousin Walter (Michael Moore) - Russ figures out a way to rig the drawing and have Crystal pull numbers that they happen to own. However, Russ discovers that making the scheme work and keeping everyone quiet about it is more trouble than it's worth. The supporting cast includes Chris Kattan, Ed O'Neill, and Bill Pullman; Nora Ephron, who previously worked with Travolta on the comedy hit Michael, directed. ~ Mark Deming, Rovi",22,"$9,534,013"
"Me, Myself & Irene",['Comedy'],2000-06-22T17:00:00-07:00,R,20th Century Fox,P117M,"
    Six years after Dumb and Dumber, Jim Carrey reunited with Peter Farrelly and Bobby Farrelly for this anarchic comedy with a hint of romance. Charlie (Carrey) is a good-natured Rhode Island state trooper who likes helping people. But years of internalizing his frustrations about his work and his family have caused Charlie to develop an alter ego: Hank, an abusive, violent, sexually compulsive police officer. Charlie can keep Hank at bay with medication, but just barely. When Irene (Renee Zellweger) finds herself in legal trouble through a series of misunderstandings involving her ex-boyfriend, Charlie must escort her on a long drive to New York for questioning. After Charlie loses his medication, he and Hank wind up vying for her affections: Charlie wants Irene to marry him, while Hank has more brutal intentions. Me, Myself, and Irene also features Chris Cooper, Robert Forster, and Jessica Harper, as well as Anthony Anderson, Mongo Brownlee, and Jerod Mixon as Charlie's rotund, African-American sons. ~ Mark Deming, Rovi",47,"$560,525"
